"id","glk_word","glk_example","fa_word","fa_example","en_word","en_example"
33,"أن","أن چيسه؟","این","این چیست؟","This","What is this?"
34,"أنديفه","أ ساعت چارصد تۊمۊن أنديفه دأره؟","ارزش","این ساعت چهارصد تومن ارزش دارد؟","Worth","Is this watch worth four handred Tomans?"
35,"أنگاره","چي ره أنقد أنگاره بيده-ئي؟","تدارک","براى چه این‌قدر تدارک دیده‌اى؟","Prepare","Why did you prepare this much?"
36,"أوانگاره","هأچين أمه ره أوانگاره بيده-ئيم","دردسر","بیخود براى خودمان دردسر درست کردیم","Trouble","We made trouble for ourselves because of nothing"
37,"أوري","مي کافشينأ أوري؟","می‌آوری","کاپشن من را مى‌آورى؟","Would You Bring","Would you bring me my jacket?"
38,"أولي","تي أولي زاکه؟","اول","فرزند اولت است؟","First","Is this your first child?"
39,"أوير","مي ساعتأ أويرأ کۊدم","گم","ساعتم را گم کردم","Lost","I lost my watch"
40,"أويستي","أشان دۊتا أويستي-يأ مأنيدي","هوو","این دو نفر مانند هوو هم هستند","Rival Wives","These two look like someone's rival wives"
41,"أيأ","تي کيليدانأ أيأ بنأ بۊم","این‌جا","کلیدهایت را این‌جا گذاشته بودم","Here","You left your keys here"
42,"أياز","أياز بينيشته گۊلانˇ سر","شبنم","شبنم روى گل‌ها نشسته است","Dew","There's dew on the flowers"
43,"أژدم","تي پلا أژدمه","بسیار شور","پلو تو بسیار شور است","Very Salty","Your rice is very salty"
44,"أکه","أکه تأنيم بازي بۊکۊنيم؟","چه وقت","چه وقت مى‌توانیم بازى کنیم؟","When","When can we play?"
45,"ؤ","من ؤ حۊسئن دۊتائي شيم","و","من و حسین دو نفری می‌رویم","And","Me and Hosein will go together"
46,"ارجئن ارجئن","﻿کاغذانأ همهˈ ارجئن ارجئنأ کۊده","ریز ریز","تمام کاغذها را ریز ریز کرد","Shred","He/She shred all the papers"
47,"اي","اي ميليۊن تۊمۊن پۊل خأیم","یک","یک میلیون تومان پول لازم دارم","One","I need one million Tomans cash"
48,"اي فچم","ترأ بيدينم اي فچم ماچي دهم","بسیار زیاد","تو را ببینم بسیار زیاد مى‌بوسم‌ات","A Lot","If I see you I'll give you a lot of kisses"
49,"اي مۊشته","اي مۊشته بج مرأ فأدن","یک مشت","یک مشت برنج به من بده","A Fistful","Give me a fistful of rice"
50,"اي وخت","اي وخت پۊر ترأ خأستيم","زمانی","زمانی تو را خیلى می‌خواستم","Once","I once wanted you so much"
51,"اي ور","أنˇ رختان هرتأ اي ور کفته","یک گوشه","هرکدام از لباس‌هایش یک گوشه افتاده است","One Corner","Each one of his/her clothes lies in one corner"
52,"اي وري","أ تابلؤ چي ره اي وري نهأ؟","کج","برای چه این تابلو کج است؟","Crooked","Why is this board crooked?"
53,"اي پئم","اي پئم سيبيشکا مرأ فأدي؟","یک مشت","یک مشت تخمه آفتابگردان به من مى‌دهى؟","A Fistful","Will you give me a fistful of sunflower seeds?"
54,"ايتأ","ايتأ کاغذ مرأ فأدن","یک","یک کاغذ به من بده","A","Give me a paper"
55,"ايجانا","من ؤ ميعاد ايجانا بۊشؤئيم بيرۊن","با هم","من و میعاد با هم بیرون رفتیم","Together","Miad and I went out together"
56,"ايدانه","ايدانه کۊئي خأيم","یک عدد","یک عدد کدو مى‌خواهم","One","I want one pumpkin"
57,"ايدفأ","ايدفأ بامؤم شيمي خانه","یک‌بار","یک‌بار به خانه شما آمدم","Once","I once came to your home"
58,"ايدفأئي","ناصر ايدفأئي بامؤ اۊتاقˇ دۊرۊن","ناگهان","ناصر ناگهان داخل اتاق آمد","Suddenly","Nasser suddenly entered the room"
59,"ايدقه","ايدقه بئس","یک دقیقه","یک دقیقه صبر کن","A Minute","Wait a minute"
60,"ايرۊز","ايرۊز دئه بمانسته مي تعطيلي-يان تۊمانأ به","یک‌روز","یک‌روز دیگر مانده تا تعطیلاتم تمام شود","One Day","One day remains until my holidays end"
61,"ايزه","ايزه بۊشۊ اۊشنتر","کمى","کمى آن طرف‌تر برو","A Little Bit","Move over a little bit"
62,"ايسأبيد","ديشب همه أمي خانه ايسابيد","بودند","همه دیشب خانه ما بودند","They Were","They were all in our house last night"
63,"ايسال","ايسال دئه مي درز تۊمانأ به","یک سال","یک سال دیگر درسم تمام مى‌شود","One Year","My education will end in one year"
64,"ايسم","تي ايسم چيسه؟","نام","نام تو چیست؟","Name","What's your name?"
65,"ايسيد؟","شۊمان چن نفر ايسيد؟","هستید؟","شما چند نفر هستید؟","Are You?","How many people are you?"
66,"ايسکمۊ","بۊشۊ دۊکان دۊتا ايسکمۊ بيهين","بستنی یخی","برو مغازه دو عدد بستنی یخی بخر","Ice Pop","Go to the shop and buy two ice pops"
67,"ايشتاو","هأی أمرأ ايشتاو ديهه","هشدار","مدام به ما هشدار می‌دهد","Warning","He/She constantly warning us"
68,"ايشتاوي","ايشتاوي چي گمه؟","می‌شنوی","می‌شنوی چه می‌گویم؟","Do You Hear","Do you hear what I'm saying?"
69,"ايششه","ايششه، لانتي","اه (لفظ تنفر)","اه، مار","Ew","Ew, snake"
70,"ايشماردن","مي زأى ايشماردنأ نأنه","شمارش","بچه من شمارش بلد نیست","Count","My kid doesn't know how to count"
71,"ايشکؤر","کيشکائان ٚ رئم ايشکؤر فۊکۊن","خرده‌برنج","برای جوجه‌ها هم خرده‌برنج بریز","Rice Crumbs","Sprinkle rice crumbs for chickens too"
72,"ايشکنئن","چي-يأ ايشکنئن دري؟","شکستن","دارى چه چیزى را مى‌شکنى؟","Break","What are you breaking?"
73,"ايمرۊ","ايمرۊ بۊشؤم کيتابخانه","امروز","امروز به کتابخانه رفتم","Today","Today I went to the library"
74,"اينسان","اينسان بۊبۊ","انسان","انسان باش","Human","Be human"
75,"اينفر","اينفر دئه خأئيم أمي جرگه چأکۊده ببه","یک‌نفر","یک‌نفر دیگر مى‌خواهیم تا گروه‌مان درست شود","One Person","We need one more person to make our group"
76,"ايوار ايوار","ايوار ايوار شئطان مرأ گه . . .","گهگاه","گهگاه شیطان به من مى‌گوید . . .","Occasionally","Occasionally, Satan tells me. . ."
77,"ايواردم","ايواردم وا بشم بازار","یک‌بار دیگر","یک‌بار دیگر باید به بازار بروم","Once Again","I have to go to the market once again"
78,"ايوارٚکي","ايوارٚکي بۊگۊ نأيم ترأ راحتأ کۊن","به یک‌باره","به یک‌باره بگو نمى‌آیم خودت را خلاص کن","Suddenly","Suddenly say I'm not comming and get rif of yourself"
79,"ايپيچم","گۊش نۊکۊني ايپيچم ترأيأ","برخورد تندی می‌کنم","توجه نکنى برخورد تندى با تو مى‌کنم","I'll be aggressive","I'll be aggressive if you don't pay attention"
80,"ايپچه","ايپچه پلا مه ره دۊکۊن","کمی","کمى پلو براى من بریز","A little bit","Serve me a little bit of rice"
81,"ايچي","ايچي خأيم ترأ بگم","یک‌چیز","یک‌چیز مى‌خواهم به تو بگویم","Something","I want to tell you something"
82,"اۊتاق","مي اۊتاق کؤيتأ ايسه؟","اتاق","اتاق من کدام یک است؟","Room","Which one is my room?"
83,"اۊدۊشتن","سۊمبۊرˇ مأنستن أمي خۊنأ اۊدۊشتن دريد","مکیدن","مانند زالو دارند خون ما را مى‌دوشند","Suck","They're sucking our blood like a leech"
84,"اۊرشين","کترأيأ اۊسادم قاتؤقا اۊرشين بزئم","هم زدن","کفگیر چوبى را برداشتم خورش را هم زدم","Stir","I picked up wooden spoon and stir the stew"
85,"اۊسان","قاقؤشاقانأ اۊسان بأور","بردار","قاشق‌ها را بردار بیاور","Pick Up","Pick up the spoons and bring them"
86,"اۊسه کۊد","أ کيتابأ کي اۊسه کۊد؟","فرستاد","این کتاب را چه کسی فرستاد؟","Sent","Who sent this book?"
87,"اۊشان","اۊشان کيسيد؟","آن‌ها","آن‌ها چه کسانى هستند؟","They","Who are they?"
88,"اۊشکؤفت","آب مرأ اۊشکؤفت","در گلو گیر کرد","آب در گلویم گیر کرد","Choked","I choked on water"
89,"اۊن","اۊن چيسه؟","آن","آن چیست؟","That","What is that?"
90,"اۊيأ","مهينˇ کيف اۊيأ نهأ","آن‌جا","کیف مهین آن‌جا است","Over There","Mahin's Bag is over there"
91,"اۊچين","تي کيتابانأ اۊچين","جمع کن","کتاب‌هایت را جمع کن","Collect","Collect your book"
92,"اۊکۊف","أمه ره اۊکۊف دره","شگون","براى ما شگون دارد","Presage","It has presage for us"
93,"بأور","بۊشۊ مي کيفأ بأور","بیاور","برو کیفم را بیاور","Bring It","Go Bring my bag"
94,"بؤبؤسته","أ پلا دئه بؤبؤسته","آماده","این پلو دیگر آماده است","Ready","The rice is ready"
95,"بؤبؤسته","چي بؤبؤسته؟","شده است","چه شده است؟","Hppened","What has been happened?"
96,"بؤبؤسته","مهسا مردˇ ره بؤبؤسته","شوهر کردن","مهسا شوهر کرد","Married (With a Man)","Mahsa married"
97,"بؤرسفته","مي کيفˇ بند بؤرسفته","پاره شد","بند کیفم پاره شد","Torn","My bag's handle is torn"
98,"بؤرسن","دئه بؤرسن","تمام کن","دیگر تمام کن","Stop","Stop it"
99,"بؤق","ماشينˇ شيشه بؤق بۊکۊده","بخار","شیشه ماشین بخار کرده است","Steam","Car's glass has been steamed"
100,"بئس","ايمشبأ أمي خانه بئس","بمان","امشب را در خانه ما بمان","Stay","Stay in our house tonight"
101,"بئس","ايپچه بئس","صبر کن","کمی صبر کن","Wait","Wait a little bit"
102,"بئگان","هۊيأ بئگان","بیفکن","همان‌جا بیفکن","Throw","Throw it there"
103,"بار بامؤئيد","گيلکان نترس بار بامؤئيد","تربیت شده‌اند","گیلک‌ها شجاع تربیت شده‌اند","Are Trained","Gileks are trained to be brave"
104,"باش","خۊ پيله برارأ باشه","پیروز","بر برادر بزرگ‌اش پیروز است","Dominant","He/She is dominant over his/her older brother"
105,"باقي بمأنسته","أنˇ باقي بمانستهٰ چي بۊکۊنم؟","باقى‌مانده","باقى‌مانده این را چه کنم؟","Remaining","What shuld I do with the remaining?"
106,"بال","مي بالأ بيگير","دست","دستم را بگیر","Hand","Take my hand"
107,"بال زئن","أنˇ پئر أنأ بال بزه","حمایت کردن","پدرش از او حمایت کرد","Support","His/her father supported him/her"
108,"بالاخا","أمي بالاخا ويريشته","هواخواه","به هواخواهى ما برخاست","Stood Up","He/She stood up for us"
109,"بامؤخته","بامؤخته آدمأ همه دۊس دأريدي","با ادب","آدم با ادب را همه دوست دارند","Polite","Everyone loves a polite person"
110,"بامؤختي","اۊشاني کي بۊگؤفتمه بامؤختي؟","یاد گرفتی","آن‌هایى که گفتم را یاد گرفتى؟","Did You Learn","Did you learn what I said?"
111,"ببه","أگه أتؤ ببه","باشد","اگر چنین باشد","Be","If it be like this"
112,"ببه","من گب خبربري نۊکۊنم هرچي خأيه ببه بدأ ببه","بشود","من خبرچینى نمى‌کنم هرچه مى‌خواهد بشود بگذار بشود","Be","I don't gossip whatever it is let it be"
113,"بتپسته","يخچال أسبابˇ جأ بتپسته-يه","پر","یخچال پر از وسایل است","Full","The fridge is full of things"
114,"بج","ايمسال بج گيرانأ بؤسته","برنج","امسال برنج گران شده است","Rice","Rice has become expensive this year"
115,"بجار","أگه کاري نۊکۊنيم أمي بجاران همه دس جه شيدي","شالیزار","اگر کارى نکنیم تمام شالیزارهاى‌مان  از دست مى‌روند","Rice Field","If we don't do anything all of our rice fields will be gone"
116,"بجارکار","بجارکار کۊدن دره","کشاورزی (در شالیزار)","در شالیزار کشاورزی مى‌کند","Farming (on Rice Field)","He/She is farming on the rice field"
117,"بجاوسته","کي خۊ بجاوسته آدامسأ تاودأ خيابانˇ دۊرۊن؟","جویده","چه کسى آدامس جویده‌اش را در خیابان انداخت؟","Chewed","Who threw his/her chewed gum in the street?"
118,"بجسته","مي دسˇ رگ بجسته","برجسته","رگ دستم برجسته شد","Prominent","The veins on my hand got prominent"
119,"بخألي","بخألي آخري سال ببه","به گمانم","به گمانم سال آخر باشد","I Guess","I guess it's the last year"
120,"بدأ","بدأ بيدينم چي تأنم بۊکۊنم","بگذار","بگذار ببینم چه مى‌توانم بکنم","Let Me","Let me see what can I do"
121,"بدگيل","أ مانتؤ بدگيل ني-يه أمما مي ديلأ نيگيفته","زشت","این مانتو زشت نیست اما مورد پسند من نیست","Ugly","This manteau is not ugly but not my favorite"
122,"برأر","مي برار بۊشؤ ايجباري","برادر","برادرم به سربازی رفته است","Brother","My brother has gone to military"
123,"برار زن","أفشينˇ برارزن مي ريفئقه","زن برادر","زن برادر افشین با من دوست است","Sister in Law (Brother's Wife)","Afshin's sister in law is my friend"
124,"برارزا","مي برارزا بۊشؤ مٚدٚرسه","برادرزاده","برادرزاده‌ام به مدرسه رفته است","Nephew/Niece (Brother's Child)","My nephew has gone to school"
125,"بردن","تقي زن ببرده","ازدواج (با زن)","تقى زن گرفته است","Married (With Woman)","Taghi married"
126,"برسه","أ خۊرمالۊئان برسه","پخته","این خرمالوها پخته است","Ripe","These persimmons are ripe"
127,"بزن بزن","ديرۊ أمي کۊچه سر بزن بزن بۊ","درگیرى","دیروز سر کوچه ما درگیرى بود","Fight","There was a fight in our alley yesterday"
128,"بسته","بسته کۊني؟","شرط","شرط مى‌بندى؟","Bet","Do you bet?"
129,"بسر تأودأ","مأمد مرأ بسر تأودأ بشم بانک","یادآورى کرد","محمد به من یادآورى کرد به بانک بروم","Reminded me","Mohammed reminded me to go to the bank"
130,"بسر دکفتم","بسر دکفتم ايمسال بشم دانشگا","تصمیم گرفتم","تصمیم گرفتم امسال به دانشگاه بروم","I Decided","I decided to go to university this year"
131,"بسچي","بسچي کي أيم","به‌طور قطع و یقین","به‌طور قطع و یقین مى‌آیم","Definitely","I'll definitely come"
132,"بشکفت","ورفˇ سينگيني جأ أ دار بشکفت","شکست","این درخت از سنگینی برف شکست","Broke","Because of heavy snow this tree broke"
133,"بل","أن ٚ بل بلˇ گۊشأ فأندر","پهن و درشت","گوش‌های پهن و درشت‌اش را نگاه کن","Protruding","Look at his/her protruding ears"
134,"بمأنستم","دئه بمأنستم","از پا افتادنم","دیگر از پا افتادم","I'm Exhausted","I'm exhausted"
135,"بمأنسته","أ نان بمانسته-يه","بیات","این نان بیات است","Stale","This bread is stale"
136,"بمرده","کؤرؤنا وأسي دأني چن نفر بمرده؟","مرده","به خاطر کرونا می‌دانی چند نفر مرده است؟","Dead","Do you know how many people are dead because of Corona?"
137,"بنأ اۊسان","آدم وا خۊ بنأ اۊسانأ بدأنه","راه و روش زندگى","آدم باید راه و روش زندگى خودش را بداند","Lifestyle","One must know his/her own lifestyle"
138,"بندام","بندامˇ آدمˇ مرأ نوأسي نيشتن","بدنام","با آدم بدنام نباید ارتباط داشت","Infamous","Should not communicate with the infamous person"
139,"بنماسته","خؤرأ أمرأ بنماسته","نشان داد","خودش را به ما نشان داد","Showed","He/She showed himself/herself to us"
140,"بنه","تي ماشينأ هأيأ بنه","بگذار","ماشین‌ات را همین‌جا بگذار","Leave","Leave your car right here"
141,"به","أ راديؤ چأکۊده به؟","مى‌شود","این رادیو درست مى‌شود؟","Will Be","Will this radio be fixed?"
142,"به زرف","پئله-يأ به زرف بزه زيمين بشکنه","محکم","نعلبکى را محکم به زمین زد شکست","Very Hard","He/She throw the saucer very hard on the ground and broke it"
143,"به فسکأ دأ","أمرأ به فسکأ دأ","لو داد","ما را لو داد","Exposed","He/She exposed us"
144,"بي","تۊ ناصرˇ أمرأ بي","بودى","تو با ناصر بودى","You Whre","You where with Naser"
145,"بي","مي أمرأ ريفئقأ بي؟","مى‌شوى","با من دوست مى‌شوی؟","Will You","Will you be my friend?"
146,"بي شناق","بعضي-يان پۊر بي شناقيد","حق نشناس","بعضى‌ها خیلی حق نشناس هستند","Ungrateful","Some people are very ungrateful"
147,"بي پا","گيلانˇ بجاران همه بي پا بؤستن دره","نابود","تمام شالیزارهاى گیلان دارد نابود مى‌شود","Destroyed","All of Gilan's rice fields are being destroyed"
148,"بي پۊشت","خۊدا بۊکۊنه هي کس بي پۊشت نبه","تنها","خدا کند هیچ کس تنها نباشد","Alone","May no one be alone"
149,"بي چنگ ؤ مۊشت","آدم نوأ بي چنگ ؤ مۊشت ببه","بى‌عرضه","آدم نباید بى‌عرضه باشد","Incapable","One must not be incapable"
150,"بياره","هرکي وا بياره خۊ گبأ بزنه","جرأت کند","هرکس باید جرأت کند سخن خود را بگوید","Dare","Everyone should dare to tell his/her words"
151,"بيافتي","وأمج ولکي بيافتي","پیدا کردی","جستجو کن شاید پیدا کردى","You Found It","Search it maybe you found it"
152,"بيبيشته","بيبيشته بج خأيم","سرخ شده","برنج سرخ شده مى‌خواهم","Fried","I want fried rice"
153,"بيجير","بيأ بيجير","پایین","بیا پایین","Down","Come down"
154,"بيرۊن","بۊشۊ بيرۊن","بیرون","برو بیرون","Out","Get out"
155,"بيسپاردم","مرجانأ بيسپاردم","سفارش کردم","به مرجان سفارش کردم","I Assigned","I assigned Marjan"
156,"بينا کۊده","سعيد ديرۊ تا هسأ بينا کۊده درز خأندن","شروع کرد","سعید از دیروز تا حالا شروع کرده درس بخواند","Started","Saeed started to study from yesterday until now"
157,"بينيش","أيأ بينيش","بنشین","اینجا بنشین","Sit Down","Sit down Here"
158,"بينيويشته-کس","أ کيتابˇ بينيويشته-کس کيسه؟","نویسنده","نویسنده این کتاب چه کسى است؟","Writer","Who is the writer of this book?"
159,"بيچه-ئي","اۊ کۊنۊسأ بيچه-ئي؟","چیدی","آن ازگیل را چیدى؟","Pick","Did you pick that common medlar?"
160,"بيگيفت","مي پۊلأ بيگيفت","گرفت","پولم را گرفت","Took","He/She took my money"
161,"بٚسٚر","چار ما بسر وا بشم پاریس","در میان","چهار ماه در میان باید به پاریس بروم","In Between","Four months in between I have to go to Paris"
162,"بچمسته","أنقد بجارکار بۊکۊدد أشانˇ کمر بچمسته دأره","خمیده","آن‌قدر در شالیزارها کار کرده‌اند کمرشان خمیده شده است","Bent","They worked too much in the rice fields that their backs got bent"
163,"بچنگأ دأ","خۊ پۊلانأ همهˈ بچنگأ دأ","از دست داد","تمام پول‌هایش را از دست داد","He/She Lost","He/She lost all his/her money"
164,"بچکسته","کارن بچکسته فني کارانˇ ره","شایسته","کارن براى کارهاى فنى شایسته است","Worthy","Karen is worthy for technical work"
165,"بچۊک","وحيدأ بيدئم بچۊک نيشته بۊ","چمباتمه","وحید را دیدم چمباتمه نشسته بود","Squat","I saw Vahid was sitting in squat"
166,"بکأشته","أ گۊلانأ حسن بکأشته","کاشته","این گل‌ها را حسن کاشته","He/She Planted","Hasan planted these flowers"
167,"بکشه-ئي","چي بکشه-ئي؟","رسم کردی","چه چیزى رسم کردى؟","You Drew","What did you draw?"
168,"بکشه-ئي","أشانأ بکشه-ئي","وزن کردی","این‌ها را وزن کردى","You Weighed","You weighed these"
169,"بکفت","زأی دار ٚ جه بکفت","افتاد","بچه از درخت افتاد","He/She Fell","The kid fell from the tree"
170,"بکفته راشي","أرأ شؤن نوأ بکفته راشي-يه","جاده متروکه","از این راه نرو جاده متروکه است","Abandoned Road","Don't go this way it is an abandoned road"
171,"بگردستيد","أول أمرأ بگردستيد","بازرسى کردند","ابتدا ما را بازرسى کردند","They Inspected","They inspected us first"
172,"بگشت","نأنم چي مرأ بگشت","نیش زد","نمى‌دانم چه چیزى مرا نیش زد","Bit","I don't know what bit me?"
173,"بگنسته","آغۊز بگنسته مي سرأ","برخورد کرد","گردو به سرم برخورد کرد","Hit","Walnut hit my head"
174,"بگيلأ کۊن","أ گبانأ هأيأ بگيلأ کۊن","دفن کن","این حرف‌ها را همین‌جا دفن کن","Bury","Bury these words right here"
175,"بۊ","تي کار بۊ؟","بود","کار تو بود؟","Was/Were","Was it your job?"
176,"بۊجؤر","بۊشۊ بۊجؤر","بالا","برو بالا","‌Up","Go up"
177,"بۊجؤر اۊتاق","زاکانأ ببر بۊجؤر اۊتاق","اتاق بالا","بچه‌‌ها را به اتاق بالا ببر","The Room Upstairs","Take the kids to the room the upstairs"
178,"بۊخۊس","دئره، بۊشۊ بۊخۊس","بخواب","دیروقت است، برو بخواب","Sleep","It's late, go to sleep"
179,"بۊدۊج","تأني مي پرهنأ بۊدۊجي؟","بدوز","می‌توانی پیراهنم را بدوزی؟","Sew","Can you sew my shirt?"
180,"بۊدۊرۊن","بۊشۊ بۊدۊرۊن","داخل","برو داخل","Inside","Go inside"
181,"بۊرۊز","تي فسکأ بۊرۊز دأن نوأ","فاش","رازت را فاش نکن","Reveal","Don't reveal your secret"
182,"بۊز","مي پا بۊز مرأ در کۊنه","پاشنه پا","پاشنه پایم درد مى‌کند","Heel","The heel of my foot hurts"
183,"بۊسۊجانه","غذايأ همهˈ بۊسۊجانه","سوزاند","تمام غذا را سوزاند","Burned","He/She burned all the food"
184,"بۊشؤستم","تي رختانأ بۊشؤستم","شستم","لباس‌هایت را شستم","I Washed","I washed your clothes"
185,"بۊفۊرؤختم","مي گۊشي-يأ تازگي-يان بۊفرؤختم","فروختم","گوشى‌ام را به‌تازگی فروختم","I Sold","I sold my phone recently"
186,"بۊچۊلکسته","أمي باغچه گۊلان بۊچۊلکسته","پژمرده","گل‌هاى باغچه ما پژمرده شد","Withered","Our garden's flowers have withered"
187,"بۊک بۊکۊده","ايمرۊ چي ره بۊک بۊکۊده-ئي؟","پکر","براى چه امروز پکر هستى؟","Despondent","Why are you despondent today?"
188,"بۊکۊشيد","أشان خأئيد همهٰ بۊکۊشيد","بکشند","ایشان می‌خواهند همه را بکشند","Kill","They want to kill everybody"
189,"بۊگرؤختيم","صابخانه کي بامؤ أمان بۊگرؤختيم","فرار کردیم","صاحب‌خانه که آمد ما فرار کردیم","We Ran Away","When the house owner came we ran away"
190,"بۊگۊ بيشتاو","شيمي بۊگۊ بيشتاوأ نيشتاوستم","گفتگو","گفتگوى شما را نشنیدم","Conversation","I didn't hear your conversation"
191,"بۊگۊ مۊگۊ","مي دۊماغ خارش کۊنه بۊگۊ مۊگۊيه","غیبت","بینى‌ام مى‌خارد غیبت‌ام را مى‌کنند","Gossiping","My nose itches someone gossiping about me"
192,"تأنم","تأنم أنأ چاکۊنم","می‌توانم","می‌توانم این را درست کنم","I Can","I can fix it"
193,"تا به تا","تي جۊرافان چي وأسي تا به تايه؟","لنگه به لنگه","براى چه جوراب‌هایت لنگه به لنگه است؟","Mismatched","Why are your socks mismatched?"
194,"تا هسأ","تا هسأ کۊرم کلاچ بازي بۊکۊده-ئي؟","تا به حال","تا حالا کۊرم کلاچ بازى کرده‌اى؟","Ever","Have you ever played Kooram Kalacham?"
195,"تاخت","تاختأگير بخانه","سرعت","به سرعت به خانه برو","Quickly","Go home quickly"
196,"تارانه","أنˇ کردˇکار همهˈ اۊنˇ جأ تارانه","دور می‌کند","رفتارش همه را از او دور مى‌کند","Keeps Away","His/Her behavior keeps everyone away from him/her"
197,"تازه","تازه-چي بۊگۊ","جدید","چیز جدیدى بگو","New","Say something new"
198,"تازگي-يان","تازگي-یان عليأ بيدئي؟","به تازگى","به تازگى علی را دیده‌ای؟","Recently","Have you seen Ali recently?"
199,"تاشتن","مي ريشأ تاشتن درم","تراشیدن","دارم ریشم را مى‌تراشم","Shaving","I'm shaving my beard"
200,"تالان تالاني","أ تالان تالاني دۊرۊن نان گيرانأ بؤسته","هرج و مرج","در این هرج و مرج نان گران شد","Chaos","In this chaos bread became more expensive"
201,"تام","تام بزن","سکوت","ساکت باش","Quiet","Be quiet"
202,"تام","ايجۊر غذا خۊري آدمˇ تامأ دکفه","هوس","جورى غذا مى‌خورى آدم هوس مى‌کند","Crave","The way you eating makes me crave"
