"id","glk_word","glk_example","en_word","en_example"
148,"بي پۊشت","خۊدا بۊکۊنه هي کس بي پۊشت نبه","Alone","May no one be alone"
149,"بي چنگ ؤ مۊشت","آدم نوأ بي چنگ ؤ مۊشت ببه","Incapable","One must not be incapable"
150,"بياره","هرکي وا بياره خۊ گبأ بزنه","Dare","Everyone should dare to tell his/her words"
151,"بيافتي","وأمج ولکي بيافتي","You Found It","Search it maybe you found it"
152,"بيبيشته","بيبيشته بج خأيم","Fried","I want fried rice"
153,"بيجير","بيأ بيجير","Down","Come down"
154,"بيرۊن","بۊشۊ بيرۊن","Out","Get out"
155,"بيسپاردم","مرجانأ بيسپاردم","I Assigned","I assigned Marjan"
156,"بينا کۊده","سعيد ديرۊ تا هسأ بينا کۊده درز خأندن","Started","Saeed started to study from yesterday until now"
157,"بينيش","أيأ بينيش","Sit Down","Sit down Here"
158,"بينيويشته-کس","أ کيتابˇ بينيويشته-کس کيسه؟","Writer","Who is the writer of this book?"
159,"بيچه-ئي","اۊ کۊنۊسأ بيچه-ئي؟","Pick","Did you pick that common medlar?"
160,"بيگيفت","مي پۊلأ بيگيفت","Took","He/She took my money"
161,"بٚسٚر","چار ما بسر وا بشم پاریس","In Between","Four months in between I have to go to Paris"
162,"بچمسته","أنقد بجارکار بۊکۊدد أشانˇ کمر بچمسته دأره","Bent","They worked too much in the rice fields that their backs got bent"
163,"بچنگأ دأ","خۊ پۊلانأ همهˈ بچنگأ دأ","He/She Lost","He/She lost all his/her money"
164,"بچکسته","کارن بچکسته فني کارانˇ ره","Worthy","Karen is worthy for technical work"
165,"بچۊک","وحيدأ بيدئم بچۊک نيشته بۊ","Squat","I saw Vahid was sitting in squat"
166,"بکأشته","أ گۊلانأ حسن بکأشته","He/She Planted","Hasan planted these flowers"
167,"بکشه-ئي","چي بکشه-ئي؟","You Drew","What did you draw?"
168,"بکشه-ئي","أشانأ بکشه-ئي","You Weighed","You weighed these"
169,"بکفت","زأی دار ٚ جه بکفت","He/She Fell","The kid fell from the tree"
170,"بکفته راشي","أرأ شؤن نوأ بکفته راشي-يه","Abandoned Road","Don't go this way it is an abandoned road"
171,"بگردستيد","أول أمرأ بگردستيد","They Inspected","They inspected us first"
172,"بگشت","نأنم چي مرأ بگشت","Bit","I don't know what bit me?"
173,"بگنسته","آغۊز بگنسته مي سرأ","Hit","Walnut hit my head"
174,"بگيلأ کۊن","أ گبانأ هأيأ بگيلأ کۊن","Bury","Bury these words right here"
175,"بۊ","تي کار بۊ؟","Was/Were","Was it your job?"
176,"بۊجؤر","بۊشۊ بۊجؤر","‌Up","Go up"
177,"بۊجؤر اۊتاق","زاکانأ ببر بۊجؤر اۊتاق","The Room Upstairs","Take the kids to the room the upstairs"
178,"بۊخۊس","دئره، بۊشۊ بۊخۊس","Sleep","It's late, go to sleep"
179,"بۊدۊج","تأني مي پرهنأ بۊدۊجي؟","Sew","Can you sew my shirt?"
180,"بۊدۊرۊن","بۊشۊ بۊدۊرۊن","Inside","Go inside"
181,"بۊرۊز","تي فسکأ بۊرۊز دأن نوأ","Reveal","Don't reveal your secret"
182,"بۊز","مي پا بۊز مرأ در کۊنه","Heel","The heel of my foot hurts"
183,"بۊسۊجانه","غذايأ همهˈ بۊسۊجانه","Burned","He/She burned all the food"
184,"بۊشؤستم","تي رختانأ بۊشؤستم","I Washed","I washed your clothes"
185,"بۊفۊرؤختم","مي گۊشي-يأ تازگي-يان بۊفرؤختم","I Sold","I sold my phone recently"
186,"بۊچۊلکسته","أمي باغچه گۊلان بۊچۊلکسته","Withered","Our garden's flowers have withered"
187,"بۊک بۊکۊده","ايمرۊ چي ره بۊک بۊکۊده-ئي؟","Despondent","Why are you despondent today?"
188,"بۊکۊشيد","أشان خأئيد همهٰ بۊکۊشيد","Kill","They want to kill everybody"
189,"بۊگرؤختيم","صابخانه کي بامؤ أمان بۊگرؤختيم","We Ran Away","When the house owner came we ran away"
190,"بۊگۊ بيشتاو","شيمي بۊگۊ بيشتاوأ نيشتاوستم","Conversation","I didn't hear your conversation"
191,"بۊگۊ مۊگۊ","مي دۊماغ خارش کۊنه بۊگۊ مۊگۊيه","Gossiping","My nose itches someone gossiping about me"
192,"تأنم","تأنم أنأ چاکۊنم","I Can","I can fix it"
193,"تا به تا","تي جۊرافان چي وأسي تا به تايه؟","Mismatched","Why are your socks mismatched?"
194,"تا هسأ","تا هسأ کۊرم کلاچ بازي بۊکۊده-ئي؟","Ever","Have you ever played Kooram Kalacham?"
195,"تاخت","تاختأگير بخانه","Quickly","Go home quickly"
196,"تارانه","أنˇ کردˇکار همهˈ اۊنˇ جأ تارانه","Keeps Away","His/Her behavior keeps everyone away from him/her"
197,"تازه","تازه-چي بۊگۊ","New","Say something new"
198,"تازگي-يان","تازگي-یان عليأ بيدئي؟","Recently","Have you seen Ali recently?"
199,"تاشتن","مي ريشأ تاشتن درم","Shaving","I'm shaving my beard"
200,"تالان تالاني","أ تالان تالاني دۊرۊن نان گيرانأ بؤسته","Chaos","In this chaos bread became more expensive"
201,"تام","تام بزن","Quiet","Be quiet"
202,"تام","ايجۊر غذا خۊري آدمˇ تامأ دکفه","Crave","The way you eating makes me crave"
203,"تامتۊمازه","تامتۊمازه نيشته بۊ","Without Any Noise","He/She was sitting without any noise"
204,"تان","کاسپي دريا تان همه-جۊر مائي دره","Depth","In the depth of Caspian sea, there are all kind of fishes"
205,"تاوده","آشخالانأ تاوده اۊرأ","He/She Throws","He/She throws the garbages over there"
206,"تترج","هأتؤ تترج بنه","In a Row","Put it in a row"
207,"تجرۊبه","مي تجرۊبه گه أ کار آخرپس نأره","Experience","My experience says this doesn't work"
208,"ترˇ راکه","ترˇ راکه مرأ دکفته أمي دۊمبال","Thin Branch","He/She followed us with a thin branch"
209,"ترˇ چسب","ترˇ چسب بۊشۊ","Quickly","Go quickly"
210,"ترسانه","تي گبان أمرأ ترسانه","Scare","Your words scare us"
211,"ترکمه","أ زأى چقد ترکمه-يه؟","Disobedient","How is this kid so disobedient?"
212,"تس","أنقد بۊخۊرده تسأ بؤسته","Relaxing After Eating","He/She is relaxed after eating to much"
213,"تسکˇ ديل","بۊشؤم مي مأرˇ خبرأگير تسکˇ ديل بۊ","Missing","I went to visit my mother she was missing me"
214,"تشت","تشتأ اۊسان بأور","Copper Dish (High Sided)","Take that copper dish and bring it"
215,"تشتا","مرأ تشتايه","Thirsty","I'm thirsty"
216,"تفاق دکفته","منم نأنم چي تفاق دکفته دأره","Happened","I don't know what happened either"
217,"تفتک","أ تفتک دۊمرتبه بامؤ","Annoying Person","This annoying person came again"
218,"تنگام","داوۊدأ ترسأ گيره أ تنگامˇ کۊچهˈنأ دٚواره","Narrow And Dark","Davood scares to pass these narrow and dark alleys"
219,"ته ره","أ پرهنأ ته ره بيهين","For Yourself","Buy this shirt for yourself"
220,"تهب بسر","أمي أمبارأ جنس دره تهب بسر","Full","Our warehouse is full of items"
221,"تي","أن تي کاره؟","Your","It it your job?"
222,"تي","من تي مرأ أيم","You (Singular)","I'll come with you"
223,"تيان","بۊشۊ تيانأ بأور","Pot","Go bring the pot"
224,"تيتالي","زاکانˇ تيتالي ره کيتاب بخأنيد","Entertain","Read books to entertain kids"
225,"تيج","أ چاقۊ تيج ني-يه","Sharp","This knife is not sharp"
226,"تيري پيري","مي چۊمان تيري پيري شه","Dark","My eyes go dark"
227,"تيريج مائي","تيريج مائي کأسپي دریا مئن زيويسته","Starry Sturgeon Fish","Starry sturgeon fish lives in the Caspian sea"
228,"تينتير","هأی مه ره تينتير أمؤئي","Coquetting","He/she was constantly coquetting with me"
229,"تي‌تي","سئب دار تي‌تي بۊکۊده","Blossom","The apple tree has blossome"
230,"تٚلٚس","مي چۊم تلس بۊکۊد","Swollen","My eye is swollen"
231,"تٚمٚش","تٚمٚش مي دسأ جيجا کۊنه","Thorn","Thorn wounds my hand"
232,"تک","بزه مي تکأ","Rib","He/she hit my rib"
233,"تک دٚوٚد","حسن تک دٚوٚده","Bluff","Hassan is a bluff"
234,"تکام","هأچين تي سرأ تکام دأن نوأ","Shake","Don't shake your head for nothing"
235,"تۊر","پاک تۊرأ بؤسته دأره","Mad","He/She is gone totally mad"
236,"تۊرتۊره","پارچهˈ همهˈ تۊرتۊره ٰ کۊد","Tore Into Pieces","He/She tore all the clothes into pieces"
237,"تۊشک","خۊلي تۊشکأ فيشان","Seed","Throw away the greengage's seed"
238,"تۊشکه","أ تۊشکه وا نيبه","Knot","This knot doesn't untie"
239,"تۊقا","من گيلانˇ تۊقايم","Fond","I'm fond of Gilan"
240,"تۊمان","مي تۊمان کؤیا نهأ؟","Pants","Where are my pants?"
241,"تۊمان","فئلم تۊمانأ بؤسته؟","Over","Is the movie over?"
242,"تۊند","پۊر تۊند بۊ","Bad Tempered","He/She was very bad tempered"
243,"تۊند","تۊند بيأ","Quickly","Come quickly"
244,"تۊنداتۊند","تۊنداتۊند بۊشؤ","Hastily","He/She went hastily"
245,"تۊنگۊله","ايتأ تۊنگۊله بزن","Flick","Flick with your finger"
246,"تۊک","کيشکائانأ دۊمبالأ کۊني أشانˇ مأر ترأ تۊک گيره","Peck","When you following chickens their mother will peck you"
247,"تۊک","تي تۊک خۊن أمؤن دره","Lip","Your lip is bleeding"
248,"تۊکاپره","سجاد ؤ أکبر تۊکاپرهˈ ديبيد","Argue","Farzad and Ahmad were arguing"
249,"تۊکه","آب تۊکه کۊنه","Drip","Water is dripping"
250,"تۊکه","ايتأ تۊکه آب مرأ فأدن","Little Bit","Give me a little bit of water"
251,"جأ","نادرˇ جأ فگيفتم","From","I got it from Nader"
252,"جأ","کي جأ بامؤ دأري؟","From Who","Who did you come from?"
253,"جأ","تۊ لیلا جأ بيأ","Instead Of","You come instead of Leila"
254,"جؤر","تي وسيلهٰن کابينتˇ جؤر نهأ","Top","Your stuff are on top of the cabinet"
255,"جابجا","تا أنأ بۊگؤفتيم، جابجا بۊشؤ","So Fast","When we told him/her, he/she left so fast"
256,"جابه","پرتخالانأ ديچين جابه دۊرۊن","Box","Arrange the oranges in the box"
257,"جاجيگا","گيلان تالش ؤ گيلکˇ جاجيگايه","Place","Gilan is Gilak and Talish's place"
258,"جخترأ دأ","هرچي أنأ بۊگؤفته-بۊمأ جخترأ دأ","He/She Forgot","He/She forgot whatever I told him/her"
259,"جرگه","أمي جرگه سي تا آدم-نفر دأره","Group","Our group has thirty members"
260,"جزنه","کرأ خؤرأ جزنه أمي جرگه دۊرۊن","Incorporate","He/She incorporating himself/herself in our group"
261,"جغله","مي جغله هف ما دأره","Baby","My baby is seven months old"
262,"جندره","اۊ زناى کيسه أمرأ جندره؟","Looking With Anger","Who is that woman looking at us with anger?"
263,"جنگستن دريم","شباندˇ رۊز کرأ جنگستن دريم","We Are Fighting","We're fighting night and day"
264,"جه غرز","جه غرز نيما همه بأئيد بۊدۊرۊن","Except","Everyone come inside except Nima"
265,"جه مأر بأورده","أشان جه مأر بأورده پاچ بيد","Congenitally","They were short congenitally"
266,"جيجا","مي دس همه جيجا بؤبؤ","Injured","My whole hand is injured"
267,"جيجاماما","خۊ وسيلهٰنأ جيجاماما کۊدن دره","Hide","He/She is hiding his/her stuff"
268,"جير","مۊرغانه کرک ٚجير نهأ","Under","There's an egg under the chicken"
269,"جيليسکستيم","ورفˇ سرأ شؤن ديبيم هأ ايوار جيليسکستيم","We Slipped","We were walking on the snow suddenly we slipped"
270,"جيميره","هر کي شاد نبه أنˇ ديل جيميره","He/She Will Be Depressed","The person who's not happy will be depressed in his/her own heart"
271,"جيويشت","هأتؤ أمرأ بيده جيويشت","He/She Ran Away","The moment he/She saw us he/she ran away"
272,"جيويشت","مي بال جيويشت","Dislocated (Body Members)","My hand dislocated"
273,"جکشه","خؤرأ جکشه","Pulls Aside","He/She pulls aside"
274,"جکفت","مي دهنأ آب جکفت","Watered","My mouth watered"
275,"جۊخۊسانه","خۊ پۊلانأ فرشˇ جير جۊخۊسانه","He/She Hid","He/She hid his/her moneys under the carpet"
276,"جۊخۊفت","بۊشؤ دارˇ پۊشت جۊخۊفت","He/She Hid","He/She went and hid behind the tree"
277,"جۊديکي","هؤلأ بؤستم مرأ جۊديکي بيگيفت","Stutter","I panicked and I stuttered"
278,"جۊرأ بيد","زاکان کس کسه مرأ زۊد جۊرأ بيد","They Accustom","Kids accustom to each other so soon"
279,"جۊراف","تي جۊرافانأ دۊکۊن","Socks","Wear your socks"
280,"جۊفت","ايتأ جۊفت کفش بهئم","Pair","I bought a pair of shoes"
281,"جۊل","تي سۊرخˇ جۊلأ قۊربان","Cheek","I would die for your red cheek"
282,"جۊلؤ","بۊشۊ جۊلؤ","Ahead","Go ahead"
283,"جۊلف","کاسپي دريا جۊلفه","Deep","Caspian sea is deep"
284,"جۊمجۊمه","مرأ جۊمجۊمه اۊساد","Anxious","I got anxious"
285,"جۊکۊن","أ درزنأ مه ره نخ جۊکۊن","Thread The Needle","Thread this needle for me"
286,"حأيوان","حأيوانانأ سربسر نهأن نوأ","Animal","Do not disturb animals"
287,"حئيقت","حئيقت گي؟","For Real","Are you telling this for real?"
288,"حقˇ سأى","تي حقˇ سأيأ بۊکۊن آخربسر چأکۊده به","Try","Try and finally it will be ok"
289,"خألي","اۊنقد کار بۊکۊدم خألي بيس تۊمۊن مرأ فأدأ","Only","I worked so much but he/she only gave me twenty Tomans"
290,"خأندن","کيتاب خأندن درم","Read","I'm reading the book"
291,"خأيه","کي خأيه بأيه؟","Wants","Who wants to come?"
292,"خؤرم","علي خؤرم زأکه","Good","Ali is a good kid"
293,"خؤرنه","أنقد خؤرنه کۊني کي خۊفتن نشأ","Snoring","You snoring so much that no one can sleep"
294,"خؤره","خؤره بامؤ","Himself/Herself","He/She came himself/herself"
295,"خؤره خؤره","مي کيفˇ بند خؤره خؤره بؤرسفت","Without Any Reason","The handle of my bag tore without any reason"
296,"خؤشگيل","أ گۊل چندر خؤشگيله","Beautiful","How beautiful is this flower"
297,"خاج","ايتأ خاج هيندانه مرأ فأدن","A Slice of Something","Give me a slice of watermelon"
298,"خاخۊر","مي خاخۊر ٚ مرأ بۊشؤئيم رستۊران","Sister","I went to the restaurant with my sister"
299,"خاخۊرزا","خاخۊرزا مي شين دانشجۊيه","Nephew/Niece (Sister's Child)","My niece is a student"
300,"خاش","أ مائي پۊر خاش دأره","Bone","This fish has a lot of bones"
301,"خاصˇ بخت","حسۊدˇ آدم خاصˇ بخت نيبه","Blessed","The jealous person won't get blessed"
302,"خاطر","مرأ خاطر نأيه","Remember","I don't remember"
303,"خاطرخا","أشان دۊتا خاطرخائي دأشتيد","In Love","These two people were in love"
